time,open,high,low,close,volume,average,high_low_diff
2024-07-25 19:55:00,192.13,192.3,192.0,192.3,316,192.1825,0.30000000000001137
2024-07-25 19:50:00,191.83,191.83,191.83,191.83,5,191.83,0.0
2024-07-25 19:45:00,191.99,192.15,191.99,192.15,423,192.07,0.1599999999999966
2024-07-25 19:40:00,191.9,192.0,191.805,191.85,166,191.88875,0.19499999999999318
2024-07-25 19:35:00,191.98,192.0,191.8,192.0,4063,191.945,0.19999999999998863
2024-07-25 19:30:00,192.0,192.0,192.0,192.0,1901,192.0,0.0
2024-07-25 19:25:00,192.0,192.0,191.98,191.98,11,191.99,0.020000000000010232
2024-07-25 19:20:00,192.0,192.0,192.0,192.0,5,192.0,0.0
2024-07-25 19:15:00,192.3,192.3,192.0,192.0,160,192.15,0.30000000000001137
2024-07-25 19:10:00,192.3,192.3,192.3,192.3,3,192.3,0.0
2024-07-25 19:05:00,192.0,192.3,192.0,192.3,17,192.14999999999998,0.30000000000001137
2024-07-25 19:00:00,191.98,192.0,191.98,192.0,632488,191.99,0.020000000000010232
2024-07-25 18:55:00,192.0,192.0,192.0,192.0,10,192.0,0.0
2024-07-25 18:50:00,192.0,192.0,192.0,192.0,102,192.0,0.0
2024-07-25 18:45:00,192.09,192.09,192.0,192.0,47,192.04500000000002,0.09000000000000341
2024-07-25 18:40:00,192.0,192.0,192.0,192.0,1,192.0,0.0
2024-07-25 18:35:00,192.25,192.25,192.25,192.25,20,192.25,0.0
2024-07-25 18:30:00,191.98,192.1,191.98,192.1,632769,192.04,0.12000000000000455
2024-07-25 18:25:00,191.99,192.13,191.99,192.1,5,192.0525,0.13999999999998636
2024-07-25 18:20:00,192.1,192.25,191.99,191.99,142,192.0825,0.2599999999999909
2024-07-25 18:15:00,192.08,192.1,191.99,192.1,6668,192.06750000000002,0.10999999999998522
2024-07-25 18:10:00,191.98,192.1,191.98,192.0,2061,192.015,0.12000000000000455
2024-07-25 18:05:00,191.98,191.98,191.98,191.98,15,191.98,0.0
2024-07-25 18:00:00,191.8,192.1,191.8,192.06,117,191.94,0.29999999999998295
2024-07-25 17:55:00,191.79,191.79,191.79,191.79,25,191.79,0.0
2024-07-25 17:50:00,191.98,192.0,191.78,191.9,702,191.915,0.21999999999999886
2024-07-25 17:45:00,192.01,192.02,192.0,192.0,52,192.0075,0.020000000000010232
2024-07-25 17:40:00,192.0,192.1,191.98,192.02,449,192.025,0.12000000000000455
2024-07-25 17:35:00,192.1,192.1,191.75,192.09,408,192.01000000000002,0.3499999999999943
2024-07-25 17:30:00,191.75,191.98,191.75,191.98,8,191.865,0.22999999999998977
2024-07-25 17:25:00,191.7,192.01,191.7,192.01,19,191.855,0.3100000000000023
2024-07-25 17:15:00,192.1,192.1,191.96,191.96,7,192.03,0.13999999999998636
2024-07-25 17:10:00,191.58,192.01,191.58,192.01,9,191.79500000000002,0.4299999999999784
2024-07-25 17:05:00,191.58,191.58,191.58,191.58,100,191.58,0.0
2024-07-25 17:00:00,191.58,192.0,191.58,191.58,8,191.68500000000003,0.4199999999999875
2024-07-25 16:55:00,192.1,192.1,191.58,191.58,68,191.84,0.5199999999999818
2024-07-25 16:50:00,191.95,192.1,191.95,192.1,556,192.025,0.15000000000000568
2024-07-25 16:45:00,191.98,192.02,191.98,192.01,303,191.9975,0.040000000000020464
2024-07-25 16:40:00,192.09,192.1,191.8,191.98,822,191.9925,0.29999999999998295
2024-07-25 16:35:00,191.98,192.1,191.91,191.91,34,191.975,0.18999999999999773
2024-07-25 16:30:00,192.06,192.09,191.98,191.98,16780,192.0275,0.11000000000001364
2024-07-25 16:25:00,191.95,192.1,191.84,191.84,18,191.9325,0.2599999999999909
2024-07-25 16:20:00,191.98,192.38,191.84,192.2,13001,192.10000000000002,0.539999999999992
2024-07-25 16:15:00,191.98,192.39,191.79,192.36,423,192.13,0.5999999999999943
2024-07-25 16:10:00,191.98,191.98,191.79,191.86,632834,191.9025,0.18999999999999773
2024-07-25 16:05:00,191.98,191.98,191.8,191.83,5908,191.8975,0.1799999999999784
2024-07-25 16:00:00,192.04,192.09,191.98,191.98,1384825,192.0225,0.11000000000001364
2024-07-25 15:55:00,191.91,192.39,191.75,192.09,425427,192.035,0.6399999999999864
2024-07-25 15:50:00,192.46,192.505,191.761,191.93,159100,192.164,0.7439999999999998
2024-07-25 15:45:00,192.26,192.63,191.795,192.5,128543,192.29625,0.835000000000008
2024-07-25 15:40:00,192.545,192.68,192.03,192.26,80733,192.37875,0.6500000000000057
2024-07-25 15:35:00,193.12,193.22,192.39,192.57,91097,192.825,0.8300000000000125
2024-07-25 15:30:00,193.89,193.9,193.11,193.16,72962,193.515,0.789999999999992
2024-07-25 15:25:00,194.41,194.6,193.81,193.81,78903,194.15749999999997,0.789999999999992
2024-07-25 15:20:00,193.83,194.5,193.66,194.43,58119,194.10500000000002,0.8400000000000034
2024-07-25 15:15:00,193.83,193.945,193.69,193.855,58906,193.82999999999998,0.25499999999999545
2024-07-25 15:10:00,193.35,193.99,193.29,193.865,98093,193.62375,0.700000000000017
2024-07-25 15:05:00,193.49,193.49,193.31,193.39,54550,193.42,0.18000000000000682
2024-07-25 15:00:00,193.58,193.74,193.28,193.49,93184,193.5225,0.46000000000000796
2024-07-25 14:55:00,193.44,193.93,193.42,193.54,68563,193.58249999999998,0.5100000000000193
2024-07-25 14:50:00,192.88,193.48,192.84,193.42,52064,193.155,0.6399999999999864
2024-07-25 14:45:00,193.27,193.37,192.85,192.905,40928,193.09875,0.5200000000000102
2024-07-25 14:40:00,193.275,193.63,193.09,193.32,67993,193.32875,0.539999999999992
2024-07-25 14:35:00,193.855,193.9,193.27,193.295,70737,193.57999999999998,0.6299999999999955
2024-07-25 14:30:00,194.385,194.43,193.77,193.81,60198,194.09875,0.6599999999999966
2024-07-25 14:25:00,194.325,194.51,194.24,194.33,30558,194.35125000000002,0.2699999999999818
2024-07-25 14:20:00,194.8,194.82,194.25,194.25,44006,194.53,0.5699999999999932
2024-07-25 14:15:00,194.56,194.88,194.54,194.8,28537,194.695,0.3400000000000034
2024-07-25 14:10:00,194.73,194.76,194.26,194.55,31332,194.575,0.5
2024-07-25 14:05:00,194.48,194.809,194.29,194.8,33497,194.59474999999998,0.5190000000000055
2024-07-25 14:00:00,194.74,194.82,194.43,194.45,31578,194.61,0.38999999999998636
2024-07-25 13:55:00,194.78,194.91,194.5,194.79,29728,194.745,0.4099999999999966
2024-07-25 13:50:00,194.53,194.78,194.249,194.73,41056,194.57225,0.5310000000000059
2024-07-25 13:45:00,194.325,194.65,194.21,194.64,31148,194.45625,0.4399999999999977
2024-07-25 13:40:00,193.91,194.54,193.82,194.285,52054,194.13875,0.7199999999999989
2024-07-25 13:35:00,194.35,194.51,193.89,193.895,37439,194.16125,0.6200000000000045
2024-07-25 13:30:00,195.27,195.28,194.17,194.35,74443,194.7675,1.1100000000000136
2024-07-25 13:25:00,195.425,195.63,195.28,195.33,56518,195.41625000000002,0.3499999999999943
2024-07-25 13:20:00,195.58,195.62,195.36,195.42,61692,195.495,0.2599999999999909
2024-07-25 13:15:00,195.655,195.76,195.41,195.525,56356,195.58749999999998,0.3499999999999943
2024-07-25 13:10:00,195.78,195.79,195.497,195.629,38734,195.674,0.29299999999997794
2024-07-25 13:05:00,195.375,195.92,195.36,195.75,36207,195.60125,0.5599999999999739
2024-07-25 13:00:00,195.36,195.77,195.1,195.4,76926,195.4075,0.6700000000000159
2024-07-25 12:55:00,195.76,196.0,195.32,195.34,51570,195.605,0.6800000000000068
2024-07-25 12:50:00,196.0,196.05,195.6,195.74,49825,195.8475,0.45000000000001705
2024-07-25 12:45:00,196.155,196.26,195.78,196.0,73283,196.04874999999998,0.47999999999998977
2024-07-25 12:40:00,195.695,196.17,195.59,196.155,51238,195.9025,0.5799999999999841
2024-07-25 12:35:00,195.75,196.02,195.61,195.751,88386,195.78275,0.4099999999999966
2024-07-25 12:30:00,195.09,195.72,195.05,195.66,76593,195.38,0.6699999999999875
2024-07-25 12:25:00,194.665,195.24,194.558,195.03,149397,194.87324999999998,0.6820000000000164
2024-07-25 12:20:00,194.765,194.91,194.55,194.67,95814,194.72374999999997,0.3599999999999852
2024-07-25 12:15:00,194.63,194.94,194.52,194.8,59677,194.72250000000003,0.4199999999999875
2024-07-25 12:10:00,194.26,194.75,194.198,194.56,58782,194.442,0.5519999999999925
2024-07-25 12:05:00,194.94,194.98,193.95,194.28,124632,194.53749999999997,1.0300000000000011
2024-07-25 12:00:00,194.23,194.97,194.16,194.91,99526,194.5675,0.8100000000000023
2024-07-25 11:55:00,194.28,194.46,193.84,194.23,101923,194.20250000000001,0.6200000000000045
2024-07-25 11:50:00,194.07,194.49,193.771,194.29,148402,194.15525,0.7190000000000225
2024-07-25 11:45:00,193.85,194.19,193.61,194.08,143811,193.9325,0.5799999999999841
2024-07-25 11:40:00,193.2,193.83,193.2,193.78,118371,193.5025,0.6300000000000239
2024-07-25 11:35:00,193.39,193.48,192.93,193.15,106135,193.23749999999998,0.549999999999983
